rank,url,traffic,increase_traffic
1,zh.wikipedia.org,2.6M,+192K
2,baike.baidu.com,1.5M,+161K
3,en.wikipedia.org,1.4M,−130K
4,youtube.com,1.1M,+7.6K
5,pornhub.com,872K,−18K
6,play.google.com,751K,−16K
7,github.com,661K,+11K
8,zhihu.com,632K,+28K
9,openai.com,600K,+4.2K
10,twitter.com,589K,−37K
11,cambridge.org,586K,−541
12,facebook.com,444K,+75K
13,apple.com,438K,+14K
14,theporndude.com,391K,+63K
15,instagram.com,373K,−7.3K
16,csdn.net,352K,+5.6K
17,microsoft.com,321K,+9.3K
18,missav.com,304K,−17K
19,google.com,298K,+23K
20,qq.com,266K,+36K
21,163.com,198K,+5.5K
22,bilibili.com,197K,−2.6K
23,xvideos.com,187K,−48K
24,chrome.google.com,182K,+34K
25,weibo.com,176K,−32K
26,sogou.com,175K,+58K
27,runoob.com,173K,−2.7K
28,amazon.com,173K,−25K
29,bbc.com,173K,−14K
30,sohu.com,169K,+20K
31,merriam-webster.com,167K,−1.9K
32,cnblogs.com,164K,+446
33,uptodown.com,157K,+13K
34,google.com.hk,155K,+41K
35,xnxx.com,144K,−3.7K
36,linkedin.com,136K,−13K
37,britannica.com,132K,−10K
38,tencent.com,132K,+1.1K
39,translate.google.com,130K,+37K
40,baidu.com,128K,−12K
41,xe.com,125K,+10K
42,douyin.com,124K,−380
43,support.google.com,121K,−8.3K
44,sina.com.cn,119K,−6.5K
45,douban.com,105K,−7.8K
46,91porny.com,104K,−22K
47,imdb.com,104K,−8.3K
48,deepl.com,101K,+6.2K
49,sina.cn,100K,+8.1K
50,mozilla.org,99K,+1.6K
51,aliyun.com,99K,−3.5K
52,tiktok.com,98K,+12K
53,collinsdictionary.com,94K,−9.8K
54,scholar.google.com,93K,+985
55,apkpure.com,91K,−160
56,juejin.cn,88K,−1.9K
57,pinterest.com,87K,−5.8K
58,whatsapp.com,84K,−558
59,jable.tv,84K,+6.4K
60,kaspersky.com.cn,82K,+79K
61,jmcomic.me,81K,+420
62,spankbang.com,72K,−3.2K
63,finance.yahoo.com,70K,−4.2K
64,bing.com,69K,−5.6K
65,news.cn,69K,+982
66,dictionary.com,68K,−7.4K
67,voachinese.com,67K,+2.8K
68,steampowered.com,67K,−3.9K
69,www.gov.cn,67K,+2.1K
70,huawei.com,67K,−867
71,wise.com,66K,+11K
72,hanime1.me,63K,−8.6K
73,hk01.com,63K,−3.2K
74,investopedia.com,60K,+4.2K
75,time.is,60K,+2.3K
76,techtarget.com,59K,−27K
77,adobe.com,57K,−2.3K
78,zhidao.baidu.com,57K,+25K
79,people.com.cn,52K,−2.8K
80,boc.cn,52K,+657
81,dictionary.yahoo.com,51K,+5.9K
82,rfa.org,51K,−4.6K
83,rfi.fr,51K,−7.7K
84,njav.tv,50K,−5.8K
85,nba.com,50K,+16K
86,nih.gov,50K,−11K
87,nytimes.com,49K,−2.8K
88,mayoclinic.org,49K,+93
89,xhamster.com,47K,−8.4K
90,jianshu.com,47K,−395
91,investing.com,46K,−1.1K
92,36kr.com,45K,−6.6K
93,jd.com,45K,−6.2K
94,51cg1.com,45K,+11K
95,netflix.com,45K,−610
96,taobao.com,44K,−1.5K
97,python.org,44K,+685
98,dw.com,42K,+3.3K
99,zztt15.com,41K,+3.6K
100,teltlk.com,41K,+3
